0;0
10;5000000
21;10000000
32;15000000
43;20000000
54;25000000
65;30000000
77;35000000
87;40000000
98;45000000
110;50000000
120;55000000
131;60000000
142;65000000
169;70000000
163;75000000
175;80000000
189;85000000
200;90000000
222;95000000
218;100000000
230;105000000
241;110000000
252;115000000
265;120000000
280;125000000
288;130000000
295;135000000
319;140000000
655;145000000
339;150000000
349;155000000
356;160000000
362;165000000
379;170000000
390;175000000
407;180000000
411;185000000
443;190000000
427;195000000
438;200000000
448;205000000
464;210000000
475;215000000
481;220000000
491;225000000
503;230000000
515;235000000
551;240000000
538;245000000
554;250000000
610;255000000
646;260000000
2076;265000000
